No Dosen,Nama Dosen,Nama Bidang,Jumlah Bidang Muncul
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Sistem Informasi Geografis,8
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Bisnis Elektronik Sistem Informasi,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Sistem Pakar,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Sistem Pendukung Keputusan,17
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Information Retrieval,4
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Augmented Reality,4
26,"Eka Larasati Amalia, S.ST., MT.",Computational Thinking,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Sistem Peramalan,7
26,"Eka Larasati Amalia, S.ST., MT.",Pengembangan Game,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Penambangan Teks,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Manajemen Informasi,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Pembelajaran Elektronik pada Sistem Informasi,1
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Data Besar,2
26,"Eka Larasati Amalia, S.ST., MT.",Penerapan Penambangan Data,1
26,"Eka Larasati Amalia, S.ST., MT.",Multimedia,1
27,"Ekojono, ST., M.Kom.",Penerapan Kecerdasan Buatan,4
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Pendukung Keputusan,9
27,"Ekojono, ST., M.Kom.",Penerapan IoT,2
27,"Ekojono, ST., M.Kom.",Multimedia,1
27,"Ekojono, ST., M.Kom.",Penerapan Augmented Reality,6
27,"Ekojono, ST., M.Kom.",Penerapan Customer Relationship Management,2
27,"Ekojono, ST., M.Kom.",Penerapan Pengenalan Pola,2
27,"Ekojono, ST., M.Kom.",Pengembangan Game,1
27,"Ekojono, ST., M.Kom.",Penerapan Sistem Informasi Geografis,5
27,"Ekojono, ST., M.Kom.",Penerapan Data Besar,1
